id,prenotazione_id,riga,colonna
1,1,18,2
2,1,18,8
3,2,10,1
4,3,3,9
5,3,10,9
6,4,14,1
7,5,3,3
8,5,6,4
9,6,9,2
10,6,11,10
11,6,9,10
12,6,16,7
13,7,10,10
14,7,7,7
15,8,3,10
16,8,10,3
17,8,5,2
18,8,11,4
19,9,18,3
20,10,11,1
21,11,8,8
22,11,4,10
23,12,13,6
24,13,2,5
25,13,10,7
26,13,10,8
27,13,17,4
28,14,8,9
29,14,12,2
30,15,15,3
31,16,5,5
32,16,4,5
33,17,17,8
34,17,16,5
35,18,3,1
36,19,17,2
37,19,5,8
38,20,3,7
39,21,9,6
40,22,1,3
41,22,8,7
42,23,17,6
43,23,5,7
44,23,8,4
45,23,7,5
46,24,3,6
47,25,15,6
48,25,13,1
49,26,6,1
50,26,4,9
51,26,1,5
52,26,9,9
53,27,16,3
54,28,8,5
55,29,10,2
56,29,2,1
57,29,8,6
58,30,8,3
59,31,18,6
60,31,9,8
61,32,18,1
62,32,10,5
63,33,1,4
64,33,5,1
65,34,7,6
66,34,9,1
67,35,16,9
68,36,4,8
69,37,11,6
70,37,2,10
71,37,13,7
72,38,14,8
73,38,11,2
74,39,4,7
75,39,15,5
76,39,14,5
77,39,5,10
78,40,1,1
79,40,13,10
80,40,12,8
81,40,12,4
82,41,17,1
83,42,3,8
84,43,7,2
85,44,16,10
86,44,13,3
87,44,3,2
88,44,16,8
89,45,2,2
90,46,15,8
91,46,7,10
92,47,12,7
93,47,12,9
94,48,12,5
95,49,8,1
96,49,15,9
97,50,5,7
98,50,2,9
99,50,8,9
100,51,9,8
101,51,10,6
102,52,12,4
103,52,18,6
104,53,14,1
105,53,18,8
106,54,15,10
107,55,13,6
108,56,5,3
109,56,10,2
110,57,12,1
111,57,1,10
112,58,8,8
113,58,17,10
114,59,14,2
115,59,7,5
116,59,8,5
117,59,7,8
118,60,3,10
119,60,2,2
120,61,3,7
121,62,15,2
122,62,14,3
123,62,2,4
124,62,1,1
125,63,11,1
126,63,16,5
